scenario,days,participants_final,final_daily_ubi_amount,final_reserve_coverage_ratio,final_top10_b_share,final_gini_b,final_gini_integrity,newcomer_time_to_1B_proxy,newcomer_time_to_governance_proxy,recovery_rate_30d_proxy,inactive_reentry_rate,zero_B_but_active_ratio,covenant_success_rate_newcomer,virtual_stake_usage_rate,defense_quota_usage_rate,defense_quota_eligible_total,config_governance_min_b,config_governance_min_integrity,config_defense_quota_min_integrity,config_defense_quota_per_month,config_dispute_deposit_rate,config_dispute_integrity_weight,config_low_balance_worker_bonus,config_high_balance_creator_penalty,config_arbiter_noise_scale,warning_flags,sweep_label,dispute_win_rate_lt_1,dispute_win_rate_1_to_10,dispute_win_rate_gte_10
dispute_pressure,180,120,103.0684,129.1649,0.2751,0.4583,0.2644,5,5,1.0,1.0,0.0083,2.5,0.2308,0.0,0,1.0,100.0,100.0,2,0.05,1.0,0.0,0.0,25.0,,baseline,0.1111,0.5294,0.6286
dispute_pressure,180,120,103.0684,129.1649,0.2751,0.4583,0.2644,5,5,1.0,1.0,0.0083,2.5,0.2179,0.0,0,1.0,100.0,100.0,2,0.02,1.0,0.0,0.0,25.0,,lighter_disputes,0.1111,0.5294,0.6286
dispute_pressure,180,120,103.0684,129.1649,0.2751,0.4583,0.2644,5,5,1.0,1.0,0.0083,2.5,0.2308,0.1026,8,1.0,100.0,60.0,4,0.05,1.0,0.0,0.0,25.0,,easier_defense_quota,0.1111,0.5294,0.6286
dispute_pressure,180,120,103.0684,129.1649,0.2751,0.4583,0.2644,5,5,1.0,1.0,0.0083,2.5,0.2179,0.1026,8,0.5,80.0,60.0,4,0.02,1.0,0.0,0.0,25.0,,combined_relief,0.1111,0.5294,0.6286
dispute_pressure,180,120,100.6187,91.349,0.2807,0.4648,0.2465,3,3,1.0,1.0,0.0083,2.8,0.2381,0.0357,3,1.0,100.0,60.0,4,0.05,0.6,6.0,4.0,30.0,,softer_balance_bias,0.4545,0.4524,0.4839
dispute_pressure,180,120,103.0104,214.2121,0.2399,0.4544,0.2615,8,8,1.0,1.0,0.0167,2.1,0.2889,0.1778,16,0.5,80.0,50.0,4,0.02,0.35,10.0,6.0,35.0,,external_arbiter_style,0.6667,0.4884,0.5143
